ortho_dose,pipe_material,date,location,lead,lead_dissolved,lead_part,cens_lead_part,cens_lead_dissolved,date_yday,date_numeric,scaled_lead_dissolved,scaled_lead_part,scaled_lead,d_x
1.0,Pb #2,2019-02-13,LP23,0.0057,0.0026,0.0031000000000000003,none,none,0.12054794520547946,2.1205479452054794,-0.44060664830203594,0.43782935667434475,0.8308530588156351,1.1428571428571428
1.0,Pb #2,2019-02-19,LP23,0.0084,0.0023,0.0060999999999999995,none,none,0.136986301369863,2.136986301369863,-0.5066469167936214,0.8746183858245978,1.08107475753441,0.8571428571428571
1.0,Pb #2,2019-02-27,LP23,0.0051,0.0022,0.0029000000000000002,none,none,0.1589041095890411,2.158904109589041,-0.5305910500286449,0.39479399720457614,0.7590801312788502,1.1428571428571428
1.0,Pb #2,2019-03-06,LP23,0.0049,0.002,0.0029,none,none,0.1780821917808219,2.1780821917808217,-0.5819302886078184,0.39479399720457614,0.7332650394659923,1
1.0,Pb #2,2019-03-13,LP23,0.005,0.0019,0.0031000000000000003,none,none,0.19726027397260273,2.197260273972603,-0.6095596424027712,0.43782935667434475,0.7463016694381228,1
1.0,Pb #2,2019-03-19,LP23,0.0039,0.0024,0.0015,none,none,0.2136986301369863,2.213698630136986,-0.4837219973047482,-0.03061142937682759,0.585971731839204,0.8571428571428571
1.0,Pb #2,2019-03-26,LP23,0.003,0.002,0.001,none,none,0.2328767123287671,2.232876712328767,-0.5819302886078184,-0.2922545100758283,0.41667037138209323,1
1.0,Pb #2,2019-04-02,LP23,0.0034,0.0018,0.0015999999999999999,none,none,0.25205479452054796,2.252054794520548,-0.6386831838524506,0.01103471268698423,0.4974370505798495,1
1.0,Pb #2,2019-04-09,LP23,0.0042,0.0029,0.0013,none,none,0.27123287671232876,2.271232876712329,-0.38178597967695005,-0.12295314961871805,0.6337929567754886,1
1.0,Pb #2,2019-04-17,LP23,0.0049,0.0039,0.001,none,none,0.29315068493150687,2.293150684931507,-0.22220112264431546,-0.2922545100758283,0.7332650394659923,1.1428571428571428
1.0,Pb #2,2019-04-23,LP23,0.0052,0.0048,4.000000000000002e-4,none,none,0.3095890410958904,2.3095890410958906,-0.11035528509932534,-0.883528888830858,0.7716104518991247,0.8571428571428571
1.0,Pb #2,2019-04-30,LP23,0.0048,0.0043,4.999999999999996e-4,none,none,0.3287671232876712,2.328767123287671,-0.169607740764872,-0.7395363108347502,0.7199595941449063,1
1.0,Pb #2,2019-05-07,LP23,0.0071,0.0066,5.000000000000004e-4,none,none,0.34794520547945207,2.3479452054794523,0.06118118783449792,-0.7395363108347491,0.9725774754753429,1
1.0,Pb #2,2019-05-15,LP23,0.0079,0.0068,0.0011000000000000012,none,none,0.3698630136986301,2.3698630136986303,0.07726161492616145,-0.2307516863622598,1.0414739142853742,1.1428571428571428
1.0,Pb #2,2019-05-21,LP23,0.723,0.0021,0.7209,none,none,0.3863013698630137,2.3863013698630136,-0.555649256678658,3.9540847457203854,3.9559617628970964,0.8571428571428571
1.0,Pb #2,2019-05-29,LP23,0.0129,0.0125,3.999999999999993e-4,none,none,0.40821917808219177,2.4082191780821915,0.40519760451232706,-0.8835288888308591,1.357901861987042,1.1428571428571428
1.0,Pb #2,2019-06-05,LP23,0.0143,0.0129,0.0014000000000000002,none,none,0.4273972602739726,2.4273972602739726,0.42216449709827086,-0.07513192468243286,1.4243876543677223,1
1.0,Pb #2,2019-06-12,LP23,0.013,0.0125,4.999999999999987e-4,none,none,0.4465753424657534,2.4465753424657533,0.40519760451232706,-0.7395363108347514,1.3628848306541543,1
1.0,Pb #2,2019-06-18,LP23,0.0175,0.0166,9.000000000000015e-4,none,none,0.46301369863013697,2.463013698630137,0.557999853083193,-0.360242727432856,1.5546986335865478,0.8571428571428571
1.0,Pb #2,2019-06-26,LP23,0.123,0.0143,0.10869999999999999,none,none,0.4849315068493151,2.484931506849315,0.477663249042633,2.7332526830813033,2.8130058796672386,1.1428571428571428
1.0,Pb #2,2019-07-02,LP23,0.0192,0.017,0.002199999999999997,none,none,0.5013698630136987,2.5013698630136987,0.5708255614862341,0.2165301143966599,1.614523195662749,0.8571428571428571
1.0,Pb #2,2019-07-09,LP23,0.0171,0.0161,0.0010000000000000009,none,none,0.5205479452054794,2.5205479452054793,0.5415259604487374,-0.2922545100758277,1.5397779402735572,1
1.0,Pb #2,2019-07-16,LP23,0.0204,0.0199,5.000000000000004e-4,none,none,0.5397260273972603,2.5397260273972604,0.6556670551352071,-0.7395363108347491,1.6536437327966926,1
1.0,Pb #2,2019-07-23,LP23,0.0156,0.0127,0.0029,none,none,0.5589041095890411,2.558904109589041,0.41374785235634903,0.39479399720457614,1.4805353333570468,1
1.0,Pb #2,2019-07-30,LP23,0.0291,0.0275,0.0016000000000000007,none,none,0.5780821917808219,2.5780821917808217,0.8299035552969231,0.011034712686984804,1.8828532920146102,1
1.0,Pb #2,2019-08-07,LP23,0.0327,0.031,0.0017000000000000001,none,none,0.6,2.6,0.8944349872161426,0.05015524982092811,1.958118063763749,1.1428571428571428
1.0,Pb #2,2019-08-13,LP23,0.0275,0.0254,0.002100000000000001,none,none,0.6164383561643836,2.616438356164384,0.7871145645617719,0.18651115601656784,1.8463606726656414,0.8571428571428571
1.0,Pb #2,2019-08-20,LP23,0.0259,0.0248,0.0011000000000000003,none,none,0.6356164383561644,2.6356164383561644,0.7742377528614927,-0.23075168636226034,1.8076799569067858,1
1.0,Pb #2,2019-08-27,LP23,0.0296,0.0247,0.004900000000000002,none,none,0.6547945205479452,2.654794520547945,0.7720613688739298,0.7332650394659923,1.8938465942762035,1
1.0,Pb #2,2019-09-03,LP23,0.0218,0.0204,0.0013999999999999985,none,none,0.673972602739726,2.673972602739726,0.6690338527893045,-0.075131924682434,1.696474983064748,1
1.0,Pb #2,2019-09-11,LP23,0.0191,0.0182,8.99999999999998e-4,none,none,0.6958904109589041,2.695890410958904,0.60756622894032275,-0.3602427274328583,1.6111535209776917,1.1428571428571428
1.0,Pb #2,2019-09-17,LP23,0.0205,0.0197,8.000000000000021e-4,none,none,0.7123287671232876,2.712328767123288,0.6502260563056285,-0.43624708807193485,1.6567991974503955,0.8571428571428571
1.0,Pb #2,2019-09-24,LP23,0.0198,0.0189,9.000000000000015e-4,none,none,0.7315068493150685,2.7315068493150685,0.6278952190476287,-0.360242727432856,1.6343798773125047,1
1.0,Pb #2,2019-10-01,LP23,0.0166,0.0157,9.000000000000015e-4,none,none,0.7506849315068493,2.750684931506849,0.5279741940149661,-0.360242727432856,1.5206284271722033,1
1.0,Pb #2,2019-10-02,LP23,0.0236,0.0236,2e-4,left,none,0.7534246575342466,2.7534246575342465,0.7475221470449994,-1.33081068958978,1.7476702875096584,0.14285714285714285
1.0,Pb #2,2019-10-03,LP23,0.0224,0.0221,2.999999999999982e-4,none,none,0.7561643835616438,2.756164383561644,0.7121492017920168,-1.0691676088907833,1.7139952783532524,0.14285714285714285
