type,ortho_dose,pipe_material,date,location,value,bdl
lead_dissolved,1.0,Cu/Pb-Sn,2017-11-14,LP25,2e-4,TRUE
lead,2.0-0.75,Pb-Cu,2017-11-14,LP31,0.006,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-11-14,LP31,0.0055,FALSE
lead,2.0-0.75,Pb #1,2017-11-14,LP32,0.1331,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-11-14,LP32,0.1259,FALSE
lead,2.0-0.75,Pb #2,2017-11-14,LP33,0.1201,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-11-14,LP33,0.1108,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-11-14,LP35,2e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-11-14,LP35,2e-4,TRUE
lead,0-0.5,Pb-Cu,2017-11-21,LP11,0.0025,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-11-21,LP11,0.0022,FALSE
lead,0-0.5,Pb #1,2017-11-21,LP12,0.093,FALSE
lead_dissolved,0-0.5,Pb #1,2017-11-21,LP12,0.0875,FALSE
lead,0-0.5,Pb #2,2017-11-21,LP13,0.106,FALSE
lead_dissolved,0-0.5,Pb #2,2017-11-21,LP13,0.1,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-11-21,LP15,4e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-11-21,LP15,3e-4,FALSE
lead,1.0,Pb-Cu,2017-11-21,LP21,0.0033,FALSE
lead_dissolved,1.0,Pb-Cu,2017-11-21,LP21,0.0031,FALSE
lead,1.0,Pb #1,2017-11-21,LP22,0.1098,FALSE
lead_dissolved,1.0,Pb #1,2017-11-21,LP22,0.1046,FALSE
lead,1.0,Pb #2,2017-11-21,LP23,0.1165,FALSE
lead_dissolved,1.0,Pb #2,2017-11-21,LP23,0.1119,FALSE
lead,1.0,Cu/Pb-Sn,2017-11-21,LP25,2e-4,TRUE
lead_dissolved,1.0,Cu/Pb-Sn,2017-11-21,LP25,2e-4,TRUE
lead,2.0-0.75,Pb-Cu,2017-11-21,LP31,0.0044,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-11-21,LP31,0.0041,FALSE
lead,2.0-0.75,Pb #1,2017-11-21,LP32,0.1285,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-11-21,LP32,0.1216,FALSE
lead,2.0-0.75,Pb #2,2017-11-21,LP33,0.1142,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-11-21,LP33,0.1083,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-11-21,LP35,2e-4,TRUE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-11-21,LP35,2e-4,TRUE
lead,0-0.5,Pb #1,2017-11-28,LP12,0.088,FALSE
lead_dissolved,0-0.5,Pb #1,2017-11-28,LP12,0.083,FALSE
lead,0-0.5,Pb #2,2017-11-28,LP13,0.1047,FALSE
lead_dissolved,0-0.5,Pb #2,2017-11-28,LP13,0.0992,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-11-28,LP15,3e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-11-28,LP15,2e-4,FALSE
lead,1.0,Pb-Cu,2017-11-28,LP21,0.0059,FALSE
lead_dissolved,1.0,Pb-Cu,2017-11-28,LP21,0.0054,FALSE
lead,1.0,Pb #1,2017-11-28,LP22,0.1081,FALSE
lead_dissolved,1.0,Pb #1,2017-11-28,LP22,0.1029,FALSE
lead,1.0,Pb #2,2017-11-28,LP23,0.1149,FALSE
lead_dissolved,1.0,Pb #2,2017-11-28,LP23,0.1103,FALSE
lead,1.0,Cu/Pb-Sn,2017-11-28,LP25,2e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-11-28,LP25,2e-4,TRUE
lead,2.0-0.75,Pb-Cu,2017-11-28,LP31,0.0173,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-11-28,LP31,0.0162,FALSE
lead,2.0-0.75,Pb #1,2017-11-28,LP32,0.1365,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-11-28,LP32,0.1232,FALSE
lead,2.0-0.75,Pb #2,2017-11-28,LP33,0.1379,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-11-28,LP33,0.1146,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-11-28,LP35,2e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-11-28,LP35,2e-4,TRUE
lead,0-0.5,Pb-Cu,2017-12-05,LP11,0.0103,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-12-05,LP11,0.0088,FALSE
lead,0-0.5,Pb #1,2017-12-05,LP12,0.0929,FALSE
lead_dissolved,0-0.5,Pb #1,2017-12-05,LP12,0.0885,FALSE
lead,0-0.5,Pb #2,2017-12-05,LP13,0.1182,FALSE
lead_dissolved,0-0.5,Pb #2,2017-12-05,LP13,0.1133,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-12-05,LP15,0.0011,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-12-05,LP15,5e-4,FALSE
