location,ortho_dose,pipe_material,date,date_numeric,pk_vals_diss,pk_vals_part
LP21,1.0,Pb-Cu,2021-07-27,4.5698630136986305,-0.03133565759390461,0.07878531178968928
LP21,1.0,Pb-Cu,2021-08-10,4.608219178082192,-0.09177061133142964,0.0764646350132819
LP21,1.0,Pb-Cu,2021-08-24,4.646575342465754,4.0401122516041735e-4,0.06545920865012855
LP21,1.0,Pb-Cu,2021-09-07,4.684931506849315,-0.015690793766755938,0.07146008214676951
LP21,1.0,Pb-Cu,2021-09-21,4.723287671232876,-0.003939645380879219,0.06668134637937365
LP22,1.0,Pb #1,2017-09-27,0.7397260273972602,0.15053471077083463,-0.11188877592655783
LP22,1.0,Pb #1,2017-10-04,0.7589041095890411,0.059295573421512024,0.055215399098079404
LP22,1.0,Pb #1,2017-10-12,0.7808219178082192,-0.025476245474280543,-0.0030922324089490937
LP22,1.0,Pb #1,2017-10-17,0.7945205479452054,0.01797056198785833,0.015536554161107963
LP22,1.0,Pb #1,2017-10-24,0.8136986301369863,0.0026037272722199654,0.09135367782077958
LP22,1.0,Pb #1,2017-11-07,0.852054794520548,0.0508969989531909,0.17940898159610702
LP22,1.0,Pb #1,2017-11-14,0.8712328767123287,0.041781037914176825,0.16893723932401636
LP22,1.0,Pb #1,2017-11-21,0.8904109589041096,0.1353332948037663,0.13784701352644374
LP22,1.0,Pb #1,2017-11-28,0.9095890410958904,0.09413082432649174,0.1321546905283236
LP22,1.0,Pb #1,2017-12-05,0.9287671232876712,0.20200057207072986,0.08319877024724036
LP22,1.0,Pb #1,2017-12-19,0.9671232876712328,0.25148172728807144,0.05677343214753545
LP22,1.0,Pb #1,2018-01-03,1.008219178082192,0.08533903307663092,0.08141619306824079
LP22,1.0,Pb #1,2018-01-09,1.0246575342465754,0.16767917771693217,0.11806987679547644
LP22,1.0,Pb #1,2018-01-16,1.0438356164383562,0.12424646549510471,0.08038777763129248
LP22,1.0,Pb #1,2018-01-23,1.063013698630137,0.1563993667252319,0.04164362119193098
LP22,1.0,Pb #1,2018-01-30,1.0821917808219177,0.17632592025522664,0.06352612833815187
LP22,1.0,Pb #1,2018-02-07,1.104109589041096,0.10616096141545167,-0.06899498698595838
LP22,1.0,Pb #1,2018-02-13,1.1205479452054794,0.0730810290571763,0.04010715127076842
LP22,1.0,Pb #1,2018-02-20,1.1397260273972605,0.07220762660080503,-0.05416699175306042
LP22,1.0,Pb #1,2018-02-28,1.1616438356164385,0.011556036529916682,0.08495485877765357
LP22,1.0,Pb #1,2018-03-06,1.178082191780822,-0.045727531152603404,5.571866015494954e-4
LP22,1.0,Pb #1,2018-03-13,1.1972602739726028,0.08244140006464483,-0.015632236375147324
LP22,1.0,Pb #1,2018-03-21,1.2191780821917808,-0.007619059534644881,0.07861196046081959
LP22,1.0,Pb #1,2018-03-27,1.2356164383561643,0.04635117342092729,0.09651035621183156
LP22,1.0,Pb #1,2018-04-03,1.2547945205479452,-0.01180715277552669,0.06785084729172487
LP22,1.0,Pb #1,2018-04-10,1.273972602739726,-0.004168794236821354,-0.0012389816115914824
LP22,1.0,Pb #1,2018-04-17,1.2931506849315069,0.05323813443985466,-0.053401181782377585
LP22,1.0,Pb #1,2018-04-24,1.3123287671232875,-0.01951053369257145,-0.006208238566359443
LP22,1.0,Pb #1,2018-05-04,1.3397260273972602,0.04118672368036492,-0.0525745158733223
LP22,1.0,Pb #1,2018-05-08,1.3506849315068492,0.056741958658020425,0.08638641725306657
LP22,1.0,Pb #1,2018-05-15,1.36986301369863,0.09255556441956696,0.0717104028667647
LP22,1.0,Pb #1,2018-05-22,1.389041095890411,0.019365658590248774,2.462848745032019e-4
LP22,1.0,Pb #1,2018-05-30,1.410958904109589,0.04733825148977383,0.0012070187238850047
LP22,1.0,Pb #1,2018-06-06,1.43013698630137,-0.08388950191344458,0.03147079091066436
LP22,1.0,Pb #1,2018-06-13,1.4493150684931506,-0.014962138034369528,0.00835501607262415
LP22,1.0,Pb #1,2018-06-19,1.4657534246575343,-0.13656568650694878,0.031577485012642355
LP22,1.0,Pb #1,2018-06-26,1.484931506849315,-0.028962205917961382,0.040937691349687444
LP22,1.0,Pb #1,2018-07-03,1.504109589041096,-0.011020693380241729,-0.009934880965066367
LP22,1.0,Pb #1,2018-07-10,1.523287671232877,-0.061383673364227856,0.01974802056233682
LP22,1.0,Pb #1,2018-07-17,1.5424657534246575,0.12252175354322702,0.03891025911329789
LP22,1.0,Pb #1,2018-07-24,1.5616438356164384,-0.07133173515559649,0.07874715523941811
LP22,1.0,Pb #1,2018-08-07,1.6,0.08853126947166129,-0.06601945141954112
LP22,1.0,Pb #1,2018-08-14,1.6191780821917807,0.07756796458587308,-0.029379769617197824
LP22,1.0,Pb #1,2018-08-21,1.6383561643835618,0.14447227586188333,-0.06618478925734117
LP22,1.0,Pb #1,2018-08-29,1.6602739726027398,0.1699892223650582,0.01732184773059396
LP22,1.0,Pb #1,2018-09-04,1.6767123287671233,0.05238699111795038,-0.036766166566812336
LP22,1.0,Pb #1,2018-09-11,1.695890410958904,0.12092717903651257,-0.060214686594659055
LP22,1.0,Pb #1,2018-09-18,1.7150684931506848,0.028146466506409243,0.041044595182985276
LP22,1.0,Pb #1,2018-09-25,1.7342465753424658,-0.030905600573642573,-0.08216726314979417
LP22,1.0,Pb #1,2018-10-03,1.7561643835616438,0.002540194200686515,-0.043561038031258464
LP22,1.0,Pb #1,2018-10-10,1.7753424657534247,0.01598073868876068,0.022632449890555805
LP22,1.0,Pb #1,2018-10-17,1.7945205479452055,0.019328561571133822,0.02249083577364043
LP22,1.0,Pb #1,2018-10-24,1.8136986301369864,0.0032091963635244823,-0.04842931895187028
LP22,1.0,Pb #1,2018-10-31,1.8328767123287673,-0.049655674676216455,-0.022236048143929252
LP22,1.0,Pb #1,2018-11-06,1.8493150684931503,0.16957582507127603,0.08021934223256932
LP22,1.0,Pb #1,2018-11-13,1.8684931506849316,0.08098326373173627,0.13400864945716234
LP22,1.0,Pb #1,2018-11-20,1.887671232876712,-0.0542404941410958,0.060527205013492125
LP22,1.0,Pb #1,2018-11-27,1.906849315068493,-0.07453156864421223,0.08995312439603427
LP22,1.0,Pb #1,2018-12-04,1.926027397260274,0.1300097196064956,0.03716204633080767
LP22,1.0,Pb #1,2018-12-18,1.9643835616438357,-0.057285375893632945,-0.06350757549801213
LP22,1.0,Pb #1,2019-01-02,2.0054794520547947,0.14016629963555316,-0.03438311385739412
LP22,1.0,Pb #1,2019-01-09,2.0246575342465754,-0.0379728970037962,-0.0026466904670796633
LP22,1.0,Pb #1,2019-01-16,2.043835616438356,-0.0891946981538748,-0.0646587647201757
LP22,1.0,Pb #1,2019-01-23,2.063013698630137,-0.008717655741407725,-0.006289876702529319
LP22,1.0,Pb #1,2019-01-29,2.0794520547945208,0.05116851377626991,-0.00678525291832097
LP22,1.0,Pb #1,2019-02-05,2.0986301369863014,-0.04249591792002715,-0.014714040829150978
LP22,1.0,Pb #1,2019-02-13,2.1205479452054794,0.06164336924472756,0.00369255117714078
LP22,1.0,Pb #1,2019-02-19,2.136986301369863,-0.002095584377192747,0.02677030105727693
LP22,1.0,Pb #1,2019-02-27,2.158904109589041,0.012472675851745624,0.007998474559488072
LP22,1.0,Pb #1,2019-03-06,2.1780821917808217,-0.025631994090043894,-0.017570502831228737
LP22,1.0,Pb #1,2019-03-13,2.197260273972603,-0.06984606310354986,-0.02721131617266943
LP22,1.0,Pb #1,2019-03-19,2.213698630136986,0.11507692724437814,5.561200543248955e-4
LP22,1.0,Pb #1,2019-03-26,2.232876712328767,-0.11436179202542107,-0.07821160608218221
LP22,1.0,Pb #1,2019-04-02,2.252054794520548,-0.09509937534079393,0.03119629893347218
LP22,1.0,Pb #1,2019-04-09,2.271232876712329,0.12125075683540582,-0.0026547063703319766
LP22,1.0,Pb #1,2019-04-17,2.293150684931507,0.1308210763184655,0.0038091297741271735
LP22,1.0,Pb #1,2019-04-23,2.3095890410958906,0.04551414175037374,-0.01862697546471225
LP22,1.0,Pb #1,2019-04-30,2.328767123287671,-0.04265792327768316,-0.07296585771900292
LP22,1.0,Pb #1,2019-05-07,2.3479452054794523,0.040338820544107465,-0.09636844454986791
LP22,1.0,Pb #1,2019-05-15,2.3698630136986303,0.10985263555526369,-0.012562880040849343
LP22,1.0,Pb #1,2019-05-21,2.3863013698630136,0.05213146202700371,-0.07866925077724288
LP22,1.0,Pb #1,2019-05-29,2.4082191780821915,0.07475545452144919,-0.044476270147445054
LP22,1.0,Pb #1,2019-06-05,2.4273972602739726,0.009913256558850635,-0.08042087159988699
LP22,1.0,Pb #1,2019-06-12,2.4465753424657533,0.06739270725561036,0.02629722408560777
LP22,1.0,Pb #1,2019-06-18,2.463013698630137,-0.07670944108148971,0.12820880925386324
LP22,1.0,Pb #1,2019-06-26,2.484931506849315,0.0355415842239972,0.01172154436948686
LP22,1.0,Pb #1,2019-07-02,2.5013698630136987,0.04318758990030854,0.016442891412728873
LP22,1.0,Pb #1,2019-07-09,2.5205479452054793,0.05324498581026442,0.03810956782882326
LP22,1.0,Pb #1,2019-07-16,2.5397260273972604,0.10019041645588725,0.0334346493297136
LP22,1.0,Pb #1,2019-07-23,2.558904109589041,-0.019526549767782012,0.0117672282195774
LP22,1.0,Pb #1,2019-07-30,2.5780821917808217,-0.045651257087684874,-0.003931005312696769
LP22,1.0,Pb #1,2019-08-07,2.6,0.10610017121666036,-0.006189206266174221
LP22,1.0,Pb #1,2019-08-13,2.616438356164384,0.07313302087323938,0.01583560654025286
LP22,1.0,Pb #1,2019-08-20,2.6356164383561644,0.17979095097398315,0.0319641907904122
LP22,1.0,Pb #1,2019-08-27,2.654794520547945,0.15302557546107462,0.013525440883472567
LP22,1.0,Pb #1,2019-09-03,2.673972602739726,0.07388943889751137,0.05867421707616969
LP22,1.0,Pb #1,2019-09-11,2.695890410958904,0.10109828490839226,0.058402332472494586
LP22,1.0,Pb #1,2019-09-17,2.712328767123288,0.15463729648724933,0.014385697603824616
LP22,1.0,Pb #1,2019-09-24,2.7315068493150685,0.10078505796635595,0.038555637081636195
LP22,1.0,Pb #1,2019-10-01,2.750684931506849,0.09803293764098495,0.03513892279033364
LP22,1.0,Pb #1,2019-10-02,2.7534246575342465,-0.12307139200153215,0.01783316250226182
LP22,1.0,Pb #1,2019-10-03,2.756164383561644,-0.0961636026214109,-0.0522422169304137
LP22,1.0,Pb #1,2019-10-04,2.758904109589041,-0.05407041894353262,-0.0682675946108257
LP22,1.0,Pb #1,2019-10-05,2.7616438356164386,-0.01929531549528077,-0.03018896341317089
LP22,1.0,Pb #1,2019-10-07,2.767123287671233,-0.012759952164020164,-0.1277152231400397
