date,location,param,value,units,bdl,ortho_dose,pipe_material,detection_limit
2017-10-12,LP3A,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-17,LP1,Iron,0.007,mg/L,FALSE,0-0.5,NA,0.005
2017-10-17,LP1,Lead,2e-4,mg/L,FALSE,0-0.5,NA,2e-4
2017-10-17,LP1,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-17,LP11,Iron,0.006,mg/L,FALSE,0-0.5,Pb-Cu,0.005
2017-10-17,LP11,Lead,0.0179,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-10-17,LP11,Lead Dissolved,0.0167,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-10-17,LP12,Iron,0.006,mg/L,FALSE,0-0.5,Pb #1,0.005
2017-10-17,LP12,Lead,0.2063,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-10-17,LP12,Lead Dissolved,0.1968,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-10-17,LP13,Iron,0.006,mg/L,FALSE,0-0.5,Pb #2,0.005
2017-10-17,LP13,Lead,0.2295,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-10-17,LP13,Lead Dissolved,0.2188,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-10-17,LP14,Iron,0.007,mg/L,FALSE,0-0.5,Cu,0.005
2017-10-17,LP14,Lead,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-10-17,LP14,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-10-17,LP15,Iron,0.006,mg/L,FALSE,0-0.5,Cu/Pb-Sn,0.005
2017-10-17,LP15,Lead,7e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-10-17,LP15,Lead Dissolved,6e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-10-17,LP1A,Iron,0.014,mg/L,FALSE,0-0.5,NA,0.005
2017-10-17,LP1A,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-17,LP1A,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-17,LP2,Iron,0.007,mg/L,FALSE,1.0,NA,0.005
2017-10-17,LP2,Lead,2e-4,mg/L,FALSE,1.0,NA,2e-4
2017-10-17,LP2,Lead Dissolved,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-17,LP21,Iron,0.006,mg/L,FALSE,1.0,Pb-Cu,0.005
2017-10-17,LP21,Lead,0.015,mg/L,FALSE,1.0,Pb-Cu,2e-4
2017-10-17,LP21,Lead Dissolved,0.0149,mg/L,FALSE,1.0,Pb-Cu,2e-4
2017-10-17,LP22,Iron,0.007,mg/L,FALSE,1.0,Pb #1,0.005
2017-10-17,LP22,Lead,0.2153,mg/L,FALSE,1.0,Pb #1,2e-4
2017-10-17,LP22,Lead Dissolved,0.2049,mg/L,FALSE,1.0,Pb #1,2e-4
2017-10-17,LP23,Iron,0.006,mg/L,FALSE,1.0,Pb #2,0.005
2017-10-17,LP23,Lead,0.2308,mg/L,FALSE,1.0,Pb #2,2e-4
2017-10-17,LP23,Lead Dissolved,0.2206,mg/L,FALSE,1.0,Pb #2,2e-4
2017-10-17,LP24,Iron,0.006,mg/L,FALSE,1.0,Cu,0.005
2017-10-17,LP24,Lead,2e-4,mg/L,TRUE,1.0,Cu,2e-4
2017-10-17,LP24,Lead Dissolved,2e-4,mg/L,TRUE,1.0,Cu,2e-4
2017-10-17,LP25,Iron,0.006,mg/L,FALSE,1.0,Cu/Pb-Sn,0.005
2017-10-17,LP25,Lead,5e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
2017-10-17,LP25,Lead Dissolved,4e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
2017-10-17,LP2A,Iron,0.013,mg/L,FALSE,1.0,NA,0.005
2017-10-17,LP2A,Lead,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-17,LP2A,Lead Dissolved,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-10-17,LP3,Iron,0.007,mg/L,FALSE,2.0-0.75,NA,0.005
2017-10-17,LP3,Lead,5e-4,mg/L,FALSE,2.0-0.75,NA,2e-4
2017-10-17,LP3,Lead Dissolved,2e-4,mg/L,FALSE,2.0-0.75,NA,2e-4
2017-10-17,LP31,Iron,0.007,mg/L,FALSE,2.0-0.75,Pb-Cu,0.005
2017-10-17,LP31,Lead,0.0486,mg/L,FALSE,2.0-0.75,Pb-Cu,2e-4
2017-10-17,LP31,Lead Dissolved,0.0458,mg/L,FALSE,2.0-0.75,Pb-Cu,2e-4
2017-10-17,LP32,Iron,0.007,mg/L,FALSE,2.0-0.75,Pb #1,0.005
2017-10-17,LP32,Lead,0.2571,mg/L,FALSE,2.0-0.75,Pb #1,2e-4
2017-10-17,LP32,Lead Dissolved,0.2423,mg/L,FALSE,2.0-0.75,Pb #1,2e-4
2017-10-17,LP33,Iron,0.012,mg/L,FALSE,2.0-0.75,Pb #2,0.005
2017-10-17,LP33,Lead,0.2181,mg/L,FALSE,2.0-0.75,Pb #2,2e-4
2017-10-17,LP33,Lead Dissolved,0.2074,mg/L,FALSE,2.0-0.75,Pb #2,2e-4
